algsetting,avg,nfails,min,max,stddev
crash-idiot5-dualp-pesteep-psi--1.0-pertv-101-duals,417.717,27,1555.96
idiot-3-pertv--1483-primals,405.286,25,1510.62
crash-idiot5-dualp-pesteep-pertv-70-duals,293.427,16,1241.84
idiot-11-primals,404.25,27,1548.39
dualize-1-pertv-63-duals,875.684,67,2333.26
dualp-pesteep-psi-1.0-pertv-101-scal-geo-duals,465.916,31,1659.44
crash-idiot1-dualp-pesteep-pertv-60-psi-1.0-duals,504.92,37,1784.59
dualp-pesteep-psi-1.0-pertv-208-duals,362.508,23,1438.33
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-4288-psi-0.51-pertv--2048-passp-66-duals,369.05,23,1449.5
crash-idiot1-duals,348.507,21,1391.42
pertv--208-cholesky-mumps-barrier,1680.84,132,3051.65
idiot-11-pertv-61-primals,404.443,27,1546.75
dualp-pesteep-psi-0.4-duals,320.503,19,1333.22
scal-geo-cholesky-mumps-barrier,1692.66,133,3058.46
crash-idiot5-dualp-pesteep-pertv-72-duals,323.877,20,1358.51
crash-idiot2-dualp-pesteep-pertv-61-psi-1.0-duals,558.366,42,1887.48
idiot-7-pertv-50-primals,390.047,25,1505.76
dual-pesteep-psi-0.39-pertv-102-duals,436.112,29,1606.77
passp-83-cholesky-univ-barrier,3016.95,245,3648.66
crash-idiot5-dualp-pesteep-pertv-75-duals,318.765,19,1330.85
pertv-50-duals,345.893,21,1388.62
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-4288-psi-0.51-pertv--136-passp-66-duals,531.111,40,1846.01
-initialSolve,405.627,25,1507.34
idiot-60-primals,268.979,15,1183.45
dualize-1-crash-on-duals,966.685,75,2447.04
idiot-11-pertv--1483-primals,403.692,27,1546.24
crash-off-dual-pesteep-psi-0.41-pertv--652-duals,416.355,28,1575.32
idiot-6-primals,369.494,22,1435.2
cholesky-native-barrier,1458.87,113,2875.28
idiot-3-pertv-50-primals,404.428,25,1509.32
scal-geo-cholesky-mumps-pertv-208-passp-83-subs-132-barrier,1693.56,133,3061.52
dual-pesteep-psi-0.32-pertv-74-duals,379.021,26,1516.09
idiot-10-primalp-change-psi-0.62-primals,689.591,54,2111.84
dualize-1-crash-idiot5-duals,901.161,70,2373.98
crash-so-dualp-pesteep-pertv-61-psi-1.0-duals,555.863,41,1873.64
dualp-pesteep-psi--1.0-duals,310.251,18,1299.56
idiot-7-pertv-61-primals,375.599,23,1455.24
dualp-pesteep-psi--0.45-pertv-60-duals,336.069,22,1401.81
crash-idiot1-dual-pesteep-psi-0.97-pertv--4850-duals,363.862,23,1448.96
crash-idiot5-dualp-pesteep-pertv-100-duals,422.92,28,1579.21
dualp-pesteep-presolve-more-scal-equi-subs-24-psi-0.51-pertv--1024-passp-66-duals,421.629,26,1542
dualp-pesteep-presolve-more-scal-equi-subs-24-psi-0.51-pertv--136-passp-66-duals,588.235,43,1915.23
dualp-pesteep-presolve-more-scal-equi-subs-6-psi-0.51-pertv--1024-passp-66-duals,419.885,26,1541.08
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-48-psi-0.51-pertv--136-passp-66-duals,581.836,43,1912.06
dualp-pesteep-presolve-more-scal-equi-subs-12-psi-0.51-pertv--136-passp-66-duals,620.05,46,1974.94
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-6-psi-0.51-pertv--136-passp-66-duals,587.919,43,1915.57
dualp-pesteep-presolve-more-scal-equi-subs-48-psi-0.51-pertv--1024-passp-66-duals,447.082,28,1598.7
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-12-psi-0.51-pertv--1024-passp-66-duals,439.452,28,1593.85
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-48-psi-0.51-pertv--136-passp-66-duals,584.529,43,1914.24
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-24-psi-0.51-pertv--136-passp-66-duals,579.357,42,1895.48
